image_ID,tf2_ssim,ski_ssim,tf2_psnr
146_1_CM,0.9576772451400757,0.9807263934243351,33.81459426879883
146_2_CM,0.9574810266494751,0.9804551538018094,33.91119384765625
146_3_CM,0.9581542611122131,0.9807218122378598,34.07122039794922
146_4_CM,0.9589727520942688,0.9811803472249901,33.79887771606445
146_5_CM,0.9577480554580688,0.9802770636552828,33.14585494995117
147_1_CM,0.9588882923126221,0.9804126710531689,31.195268630981445
147_2_CM,0.961485743522644,0.9824532679361121,34.52830123901367
147_3_CM,0.9599448442459106,0.981383694722622,34.038516998291016
147_4_CM,0.9612541794776917,0.9819698800814707,34.27169418334961
147_5_CM,0.9623641967773438,0.982669562714302,34.816593170166016
149_1_CM,0.9493095278739929,0.9755571190550771,32.14763259887695
149_2_CM,0.9493638277053833,0.9755542044947135,32.06638717651367
149_3_CM,0.9491437077522278,0.9753523523719472,32.31446838378906
149_4_CM,0.9488158226013184,0.9748867528419807,31.459796905517578
149_5_CM,0.9497244954109192,0.9756427840161144,32.22785949707031
150_1_CM,0.95184326171875,0.9766826797106405,31.673587799072266
150_2_CM,0.9572113752365112,0.9794601561633006,32.445770263671875
150_3_CM,0.95301353931427,0.9768730816163173,30.99332046508789
150_4_CM,0.9559071063995361,0.9790597881686702,32.93764114379883
150_5_CM,0.9525161385536194,0.9769963597554806,32.611602783203125
152_1_CM,0.955740749835968,0.9789193619208301,33.50802230834961
152_2_CM,0.9556848406791687,0.9790686856285634,32.955169677734375
152_3_CM,0.9564530849456787,0.9791611565927119,31.767244338989258
152_4_CM,0.9534434676170349,0.9777840736602574,32.59239196777344
152_5_CM,0.95862877368927,0.980418656519314,33.45159149169922
153_1_CM,0.9597173929214478,0.9814147169502474,33.79136657714844
153_2_CM,0.9577098488807678,0.9801551835435702,33.138023376464844
153_3_CM,0.9581182599067688,0.9805913484643465,33.5945930480957
153_4_CM,0.9600661993026733,0.9815264012745453,34.25796890258789
153_5_CM,0.9572354555130005,0.9799635869032471,33.76591873168945
159_1_CM,0.958674430847168,0.9800669554042977,31.871814727783203
159_2_CM,0.9593791365623474,0.9810670721972411,33.18225860595703
159_3_CM,0.9624499678611755,0.9826416286766636,33.808982849121094
159_4_CM,0.9608992338180542,0.9819913727253978,33.98323440551758
159_5_CM,0.9622809886932373,0.9825710720550164,34.412689208984375
161_1_CM,0.9661767482757568,0.9850063448126432,35.1513671875
161_2_CM,0.9624810814857483,0.9831043717689645,34.79030227661133
161_3_CM,0.9618071913719177,0.9827394065861317,34.979949951171875
161_4_CM,0.9657348990440369,0.9847286768900356,35.48368835449219
161_5_CM,0.9645296335220337,0.9843090689616615,35.06468963623047
164_1_CM,0.9437224864959717,0.9721366715046649,29.646753311157227
164_2_CM,0.9446112513542175,0.9731363361554879,31.7784423828125
164_3_CM,0.9438300728797913,0.9723814178980398,31.751134872436523
164_4_CM,0.9528269171714783,0.9772722265222149,32.665016174316406
164_5_CM,0.9502941966056824,0.9759058625122123,31.903568267822266
166_1_CM,0.9450936913490295,0.9691580178428025,26.054611206054688
166_2_CM,0.9608606696128845,0.9817331076556054,33.988773345947266
166_3_CM,0.959934651851654,0.9811485575793292,33.8651237487793
166_4_CM,0.9601066708564758,0.9812780190379354,33.01976013183594
166_5_CM,0.9618796706199646,0.9819675193770253,33.35759735107422
167_1_CM,0.9519557952880859,0.9762845787249828,32.08247375488281
167_2_CM,0.9543718099594116,0.977545493275864,32.13479995727539
167_3_CM,0.9573028087615967,0.9797487919405443,32.748138427734375
167_4_CM,0.9549847841262817,0.9779005341449412,31.80641746520996
167_5_CM,0.95281982421875,0.9773047624641253,32.47937774658203
168_1_CM,0.9512181282043457,0.9767183560426542,32.49903106689453
168_2_CM,0.949333131313324,0.9758987590423165,32.465450286865234
168_3_CM,0.9496164321899414,0.9763524988710206,32.57271957397461
168_4_CM,0.9498679041862488,0.9758962686766347,32.530364990234375
168_5_CM,0.9522185921669006,0.9773074971206602,32.78071594238281
169_1_CM,0.9506867527961731,0.9764387812107692,32.4588508605957
169_2_CM,0.9497219920158386,0.9760830136379415,32.437923431396484
169_3_CM,0.9501487016677856,0.9766296013445246,32.58522415161133
169_4_CM,0.9494516849517822,0.9756358669558823,32.4572868347168
169_5_CM,0.9517080783843994,0.9770482058769112,32.75093460083008
170_1_CM,0.9586054086685181,0.9811883958884522,34.0960807800293
170_2_CM,0.9610346555709839,0.9824065213488855,34.267982482910156
170_3_CM,0.9603232145309448,0.9820037643393321,34.11954116821289
170_4_CM,0.9618916511535645,0.98283986678981,34.35104751586914
170_5_CM,0.9592056274414062,0.9815183267322345,34.10993957519531
173_1_CM,0.9509375095367432,0.9763012282425275,32.612613677978516
173_2_CM,0.9529421329498291,0.9776709856068891,32.718894958496094
173_3_CM,0.9509217739105225,0.9759091773954142,30.841650009155273
173_4_CM,0.9481512904167175,0.9735338553365632,29.248958587646484
173_5_CM,0.9556374549865723,0.978745005187596,31.843626022338867
174_1_CM,0.960117518901825,0.9814024503804195,33.71922302246094
174_2_CM,0.9574506878852844,0.9799910158246344,33.050498962402344
174_3_CM,0.9588913321495056,0.9805869745780974,33.02621841430664
174_4_CM,0.9584304690361023,0.9800800896474126,32.27854919433594
174_5_CM,0.9566296935081482,0.9794356846547337,32.8817253112793
177_1_CM,0.9681909680366516,0.9859619894499787,35.78425979614258
177_2_CM,0.9688228368759155,0.9862901868305305,35.77611541748047
177_3_CM,0.9662259817123413,0.9849834165468911,35.38969039916992
177_4_CM,0.9685856699943542,0.9862103228059106,35.93547439575195
177_5_CM,0.9665486812591553,0.9851203056912115,35.323448181152344
179_1_CM,0.9591389298439026,0.9806341141394803,32.72611999511719
179_2_CM,0.9629836082458496,0.9828073751002583,33.30916976928711
179_3_CM,0.9587246775627136,0.9804234163593204,32.16007614135742
179_4_CM,0.9594879746437073,0.9808204590986541,32.92765808105469
179_5_CM,0.9587375521659851,0.9806309381749062,33.51174545288086
182_1_CM,0.9528319239616394,0.9773709484223,32.47016906738281
182_2_CM,0.9525335431098938,0.9770855622601281,32.14052963256836
182_3_CM,0.9524905681610107,0.9769308860128738,32.506935119628906
182_4_CM,0.9452354311943054,0.9711030483401644,26.288375854492188
182_5_CM,0.9469748735427856,0.9725173447675725,26.303482055664062
187_1_CM,0.9678744077682495,0.9852477636488428,34.5572395324707
187_2_CM,0.9672932624816895,0.9849382508390379,34.624107360839844
187_3_CM,0.9658200144767761,0.9841240580109275,34.162532806396484
187_4_CM,0.967124879360199,0.9848129266311527,34.35392379760742
187_5_CM,0.9671484231948853,0.9848147232264249,34.379764556884766
189_1_CM,0.954609215259552,0.9780474765497907,29.538965225219727
189_2_CM,0.9555394649505615,0.9776630636106434,27.029552459716797
189_3_CM,0.9591911435127258,0.9806314187488833,31.629894256591797
189_4_CM,0.9553557634353638,0.9784602783821003,28.640275955200195
189_5_CM,0.9567120671272278,0.9789541788226754,28.416812896728516
195_1_CM,0.9464923739433289,0.9744114637244321,31.46567153930664
195_2_CM,0.93904709815979,0.97010191509586,31.323259353637695
195_3_CM,0.9410601854324341,0.9711764837295058,31.600313186645508
195_4_CM,0.9437453746795654,0.9729967046582544,32.28352737426758
195_5_CM,0.9046926498413086,0.9405805174642494,20.158287048339844
198_1_CM,0.9651798009872437,0.984347180652571,34.807796478271484
198_2_CM,0.9656034708023071,0.9847336022206742,35.20224380493164
198_3_CM,0.9649839401245117,0.9844210141171045,35.10675048828125
198_4_CM,0.9633439779281616,0.9835898161727251,35.13134765625
198_5_CM,0.9630078077316284,0.9834979806179801,34.60710144042969
203_1_CM,0.950520396232605,0.9765838912037227,32.60606002807617
203_2_CM,0.949955940246582,0.9762293426188875,33.00887680053711
203_3_CM,0.9511325359344482,0.9764445318095696,32.64590072631836
203_4_CM,0.9498159289360046,0.9763122591128335,33.08637619018555
203_5_CM,0.948226809501648,0.9751231244784344,32.7597541809082
